year,occupation,job_satisfaction,hours_worked,age,sex,highest_degree,stress_level,marital_status,race,work_status,num_children,income
2006,Other,moderately satisfied,,42.0,male,bachelor's,often,divorced,white,working full time,0.0,"$25,000 or more"
2006,Healthcare,very satisfied,,24.0,female,bachelor's,sometimes,married,white,working full time,0.0,"$25,000 or more"
2006,Education,moderately satisfied,,52.0,female,associate/junior college,sometimes,married,white,working full time,4.0,"$25,000 or more"
2006,Services,very satisfied,,42.0,male,graduate,sometimes,never married,white,working full time,0.0,"$25,000 or more"
2006,Services,very satisfied,,48.0,female,bachelor's,often,never married,white,working full time,0.0,"$25,000 or more"
2006,Services,very satisfied,,34.0,male,less than high school,hardly ever,never married,white,working full time,0.0,"$25,000 or more"
2006,Healthcare,moderately satisfied,,30.0,male,bachelor's,hardly ever,never married,white,working full time,0.0,"$25,000 or more"
2006,Stores,very dissatisfied,,35.0,female,high school,always,never married,white,working full time,2.0,"$15,000 to $19,999"
2006,Education,very satisfied,,26.0,female,graduate,sometimes,never married,white,working full time,2.0,"$25,000 or more"
2006,Services,very satisfied,,30.0,female,high school,hardly ever,married,white,working full time,2.0,"$25,000 or more"
2006,Healthcare,moderately satisfied,,37.0,female,less than high school,sometimes,separated,white,working full time,3.0,"$25,000 or more"
2006,Government/Military,very satisfied,,72.0,female,high school,always,widowed,white,working full time,4.0,"$25,000 or more"
2006,Healthcare,moderately satisfied,,42.0,female,associate/junior college,often,never married,white,working full time,0.0,"$25,000 or more"
2006,Healthcare,very satisfied,,53.0,female,high school,sometimes,married,white,working full time,7.0,"$25,000 or more"
2006,Education,very satisfied,,58.0,female,graduate,often,married,white,working full time,2.0,"$25,000 or more"
2006,Healthcare,very satisfied,,51.0,female,high school,often,separated,white,working full time,2.0,"$25,000 or more"
2006,Stores,very satisfied,,77.0,female,high school,sometimes,married,white,working part time,4.0,"$20,000 to $24,999"
2006,Stores,very satisfied,,23.0,male,associate/junior college,sometimes,never married,white,working full time,0.0,"$25,000 or more"
2006,Healthcare,very satisfied,,36.0,female,bachelor's,often,married,white,working part time,3.0,"$25,000 or more"
2006,Construction,very satisfied,,35.0,female,high school,sometimes,never married,white,working full time,2.0,"$25,000 or more"
2006,Stores,moderately satisfied,,34.0,female,bachelor's,sometimes,married,white,working full time,0.0,"$25,000 or more"
2006,Healthcare,very satisfied,,27.0,female,high school,never,never married,black,working full time,2.0,"$25,000 or more"
2006,Services,moderately satisfied,,39.0,female,high school,sometimes,divorced,white,working full time,0.0,"$25,000 or more"
2006,Government/Military,very satisfied,,44.0,male,associate/junior college,always,married,white,working full time,1.0,"$25,000 or more"
2006,Other,moderately satisfied,,52.0,male,bachelor's,sometimes,married,white,working full time,2.0,"$25,000 or more"
2006,Healthcare,very satisfied,,25.0,female,graduate,often,never married,white,working full time,0.0,"$15,000 to $19,999"
2006,Manufacturing,very satisfied,,33.0,female,high school,never,never married,black,working full time,1.0,"$25,000 or more"
2006,Manufacturing,moderately satisfied,,42.0,male,high school,sometimes,married,other,working full time,4.0,"$15,000 to $19,999"
2006,Stores,very satisfied,,49.0,male,bachelor's,often,separated,white,working full time,1.0,"$25,000 or more"
2006,Education,moderately satisfied,,35.0,male,associate/junior college,often,married,white,working full time,0.0,"$25,000 or more"
2006,Services,very satisfied,,43.0,female,associate/junior college,often,married,white,working full time,0.0,"$25,000 or more"
2006,Services,very satisfied,,43.0,female,high school,sometimes,separated,white,working full time,0.0,"$25,000 or more"
